Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
The Perfect Guy,25888154,57027435,45.4,2221,11656,11-09-2015,Screen Gems
True Lies,25869770,146282411,17.7,2368,10924,15-07-1994,Twentieth Century Fox
Tropic Thunder,25812796,110515313,23.4,3319,7777,13-08-2008,DreamWorks
Evil Dead,25775847,54239856,47.5,3025,8520,05-04-2013,TriStar Pictures
Rocketman,25725722,96368160,26.7,3610,7126,31-05-2019,Paramount Pictures
Miami Vice,25723815,63450470,40.5,3021,8515,28-07-2006,Universal Pictures
Captain Phillips,25718314,107100855,24,3020,8515,11-10-2013,Sony Pictures Releasing
Fantastic Four,25685737,56117548,45.8,3995,6429,07-08-2015,Twentieth Century Fox
The A-Team,25669455,77222099,33.2,3535,7261,11-06-2010,Twentieth Century Fox
Big Momma's House,25661041,117559438,21.8,2802,9158,02-06-2000,Twentieth Century Fox
About Last Night,25649011,48637684,52.7,2253,11384,14-02-2014,Screen Gems
V for Vendetta,25642340,70511035,36.4,3365,7620,17-03-2006,Warner Bros.
Robin Hood: Prince of Thieves,25625602,165493908,15.5,2369,10817,14-06-1991,Warner Bros.
Son of God,25601865,59700064,42.9,3260,7853,28-02-2014,Twentieth Century Fox
Kill Bill: Vol. 2,25600000,66208183,38.7,2971,8616,16-04-2004,Miramax
Total Recall,25577758,58877969,43.4,3601,7102,03-08-2012,Sony Pictures Releasing
Battleship,25534825,65422625,39,3690,6920,18-05-2012,Universal Pictures
Total Recall,25533700,119394840,21.4,2060,12395,01-06-1990,Sony Pictures Releasing
Penguins of Madagascar,25447444,83850911,30.4,3764,6760,26-11-2014,Twentieth Century Fox
The Visit,25427560,65206105,39,3069,8285,11-09-2015,Universal Pictures
The Nutty Professor,25411725,128814019,19.7,2115,12015,28-06-1996,Universal Pictures
The Firm,25400000,158348367,16,2393,10614,02-07-1993,Paramount Pictures
Teenage Mutant Ninja Turtles,25398367,135265915,18.8,2006,12661,30-03-1990,New Line Cinema
Madea's Witness Protection,25390575,65653242,38.7,2161,11749,29-06-2012,Lionsgate Films
Gnomeo & Juliet,25356909,99967670,25.4,2994,8469,11-02-2011,Walt Disney Studios Motion Pictures
Apollo 13,25353380,172071312,14.7,2197,11540,30-06-1995,Universal Pictures
Indiana Jones and the Temple of Doom,25337110,179870271,14.1,1687,15019,23-05-1984,Paramount Pictures
Gone in 60 Seconds,25336048,101648571,24.9,3006,8428,09-06-2000,Walt Disney Studios Motion Pictures
Underworld: Awakening,25306725,62321039,40.6,3078,8221,20-01-2012,Screen Gems
Public Enemies,25271675,97104620,26,3334,7579,01-07-2009,Universal Pictures
Patch Adams,25262280,135026902,18.7,2712,9315,25-12-1998,Universal Pictures
Date Night,25207599,98711404,25.5,3374,7471,09-04-2010,Twentieth Century Fox
Tomorrow Never Dies,25143007,125304276,20.1,2807,8957,19-12-1997,Metro-Goldwyn-Mayer
Meet the Robinsons,25123781,97822171,25.7,3413,7361,30-03-2007,Walt Disney Studios Motion Pictures
Master and Commander: The Far Side of the World,25105990,93927920,26.7,3101,8096,14-11-2003,Twentieth Century Fox
The Rock,25069525,134069511,18.7,2392,10480,07-06-1996,Walt Disney Studios Motion Pictures
Madea's Big Happy Family,25068677,53345287,47,2288,10956,22-04-2011,Lionsgate Films
Dr. Dolittle 2,25037039,112952899,22.2,3049,8211,22-06-2001,Twentieth Century Fox
Blue Beetle,25030225,72488072,34.5,3871,6466,18-08-2023,Warner Bros.
Vanilla Sky,25015518,100618344,24.9,2742,9123,14-12-2001,Paramount Pictures
Peter Rabbit,25010928,115253424,21.7,3725,6714,09-02-2018,Sony Pictures Releasing
Jack and Jill,25003575,74158157,33.7,3438,7272,11-11-2011,Sony Pictures Releasing
Skyscraper,24905015,68420120,36.4,3782,6585,13-07-2018,Universal Pictures
Flight,24900566,93772375,26.6,1884,13216,02-11-2012,Paramount Pictures
White House Down,24852258,73103784,34,3222,7713,28-06-2013,Sony Pictures Releasing
A Good Day to Die Hard,24834845,67349198,36.9,3553,6989,14-02-2013,Twentieth Century Fox
True Grit,24830443,171243005,14.5,3047,8149,22-12-2010,Paramount Pictures
The Call of the Wild,24791624,62342368,39.8,3752,6607,21-02-2020,20th Century Studios
The Other Woman,24763752,83911193,29.5,3205,7726,25-04-2014,Twentieth Century Fox
Predators,24760882,52000688,47.6,2669,9277,09-07-2010,Twentieth Century Fox
Zombieland,24733155,75590286,32.7,3036,8146,02-10-2009,Sony Pictures Releasing
10 Cloverfield Lane,24727437,72082998,34.3,3391,7292,11-03-2016,Paramount Pictures
Taken,24717037,145000989,17,3183,7765,30-01-2009,Twentieth Century Fox
The Accountant,24710273,86260045,28.6,3332,7416,14-10-2016,Warner Bros.
Collateral,24701458,101005703,24.5,3188,7748,06-08-2004,DreamWorks Distribution
Congo,24642539,81022101,30.4,2649,9302,09-06-1995,Paramount Pictures
The Butler,24637312,116632095,21.1,2933,8400,16-08-2013,The Weinstein Company
The Predator,24632284,51024708,48.3,4037,6101,14-09-2018,Twentieth Century Fox
Flightplan,24629938,89707299,27.5,3424,7193,23-09-2005,Walt Disney Studios Motion Pictures
Knowing,24604751,79957634,30.8,3332,7384,20-03-2009,Summit Entertainment
Christopher Robin,24585139,99215042,24.8,3602,6825,03-08-2018,Walt Disney Studios Motion Pictures
Eraser,24566446,101295562,24.2,2410,10193,21-06-1996,Warner Bros.
The Girl on the Train,24536265,75395035,32.5,3144,7804,07-10-2016,Universal Pictures
The Emoji Movie,24531923,86089513,28.5,4075,6020,28-07-2017,Sony Pictures Releasing
Evil Dead Rise,24504315,67233054,36.4,3402,7202,21-04-2023,Warner Bros.
Pet Sematary,24502775,54724696,44.8,3585,6834,05-04-2019,Paramount Pictures
Act of Valor,24476632,70012847,35,3039,8054,24-02-2012,Relativity Media
Forrest Gump,24450602,329694499,7.4,1595,15329,06-07-1994,Paramount Pictures
Mean Girls,24432195,86058055,28.4,2839,8605,30-04-2004,Paramount Pictures
Failure to Launch,24411322,88715192,27.5,3057,7985,10-03-2006,Paramount Pictures
Race to Witch Mountain,24402214,67172594,36.3,3187,7656,13-03-2009,Walt Disney Studios Motion Pictures
Contraband,24349815,66528000,36.6,2863,8505,13-01-2012,Universal Pictures
The Chronicles of Riddick,24289165,57761012,42,2757,8809,11-06-2004,Universal Pictures
The Haunted Mansion,24278410,75847266,32,3122,7776,26-11-2003,Walt Disney Studios Motion Pictures
The Last Samurai,24271354,111127263,21.8,2908,8346,05-12-2003,Warner Bros.
TMNT,24255205,54149098,44.8,3110,7799,23-03-2007,Warner Bros.
No Good Deed,24250283,52543632,46.2,2175,11149,12-09-2014,Screen Gems
Barbershop 2: Back in Business,24241612,65111277,37.2,2711,8941,06-02-2004,Metro-Goldwyn-Mayer
"Me, Myself & Irene",24209385,90570999,26.7,3019,8019,23-06-2000,Twentieth Century Fox
The Addams Family,24203754,113502426,21.3,2411,10038,22-11-1991,Paramount Pictures
Coach Carter,24182961,67264877,36,2524,9581,14-01-2005,Paramount Pictures
Maze Runner: The Death Cure,24167011,58032443,41.6,3787,6381,26-01-2018,Twentieth Century Fox
Warcraft,24166110,47365290,51,3400,7107,10-06-2016,Universal Pictures
Con Air,24131738,101117573,23.9,2824,8545,06-06-1997,Walt Disney Studios Motion Pictures
Exodus: Gods and Kings,24115934,65014513,37.1,3503,6884,12-12-2014,Twentieth Century Fox
White Noise,24113565,56386759,42.8,2261,10665,07-01-2005,Universal Pictures
21,24105943,81159365,29.7,2648,9103,28-03-2008,Sony Pictures Releasing
The Conjuring: The Devil Made Me Do It,24104332,65631050,36.7,3102,7770,04-06-2021,Warner Bros.
Haunted Mansion,24082475,67653287,35.6,3740,6439,28-07-2023,Walt Disney Studios Motion Pictures
Arrival,24074047,100546139,23.9,2317,10390,11-11-2016,Paramount Pictures
Tower Heist,24025190,78046570,30.8,3367,7135,04-11-2011,Universal Pictures
Pixels,24011616,78747585,30.5,3723,6449,24-07-2015,Sony Pictures Releasing
The Chronicles of Narnia: The Voyage of the Dawn Treader,24005069,104386950,23,3555,6752,10-12-2010,Twentieth Century Fox
Monster-in-Law,24000000,82931301,28.9,3424,7009,13-05-2005,New Line Cinema
The Fast and the Furious: Tokyo Drift,23973840,62514415,38.4,3027,7920,16-06-2006,Universal Pictures
The Bad Guys,23950245,97459240,24.6,4008,5975,22-04-2022,Universal Pictures
Fahrenheit 9/11,23920637,119194771,20.1,868,27558,23-06-2004,Lionsgate Films
Captain Underpants: The First Epic Movie,23851539,73921000,32.3,3434,6945,02-06-2017,Twentieth Century Fox
Bad Moms,23817340,113257297,21,3215,7408,29-07-2016,STX Entertainment
The Town,23808032,92186262,25.8,2861,8321,17-09-2010,Warner Bros.
How to Lose a Guy in 10 Days,23774850,105813373,22.5,2923,8133,07-02-2003,Paramount Pictures
Rise of the Guardians,23773465,103412758,23,3653,6507,21-11-2012,DreamWorks
Paul Blart: Mall Cop 2,23762435,71038190,33.4,3633,6540,17-04-2015,Sony Pictures Releasing
The Fugitive,23758855,183875760,12.9,2340,10153,06-08-1993,Warner Bros.
Diary of a Wimpy Kid: Rodrick Rules,23751502,52698535,45.1,3167,7499,25-03-2011,Twentieth Century Fox
17 Again,23722310,64167069,37,3255,7287,17-04-2009,Warner Bros.
Fury,23702421,85817906,27.6,3173,7470,17-10-2014,Sony Pictures Releasing
Resident Evil: Extinction,23678580,50648679,46.8,2828,8372,21-09-2007,Screen Gems
Tomb Raider,23633317,58250803,40.6,3854,6132,16-03-2018,Warner Bros.
The Black Phone,23633220,90123230,26.2,3150,7502,24-06-2022,Universal Pictures
Open Season,23624548,85105259,27.8,3833,6163,29-09-2006,Sony Pictures Releasing
Goosebumps,23618556,80080379,29.5,3501,6746,16-10-2015,Sony Pictures Releasing
The Boss,23586645,63285885,37.3,3480,6777,08-04-2016,Universal Pictures
Dinner for Schmucks,23527839,73026337,32.2,2911,8082,30-07-2010,DreamWorks
Mary Poppins Returns,23523121,171958438,13.7,4090,5751,19-12-2018,Walt Disney Studios Motion Pictures
Dracula Untold,23514615,56280355,41.8,2885,8150,10-10-2014,Universal Pictures
The Amityville Horror,23507007,65233369,36,3323,7074,15-04-2005,Metro-Goldwyn-Mayer
Be Cool,23450212,56046979,41.8,3216,7291,04-03-2005,Metro-Goldwyn-Mayer
I Can Do Bad All by Myself,23446785,51733921,45.3,2255,10397,11-09-2009,Lionsgate Films
Save the Last Dance,23444930,91057006,25.8,2230,10513,12-01-2001,Paramount Pictures
Once Upon a Time in Mexico,23424118,56359780,41.6,3282,7137,12-09-2003,Sony Pictures Releasing
Face/Off,23387530,112276146,20.8,2621,8923,27-06-1997,Paramount Pictures
The Taking of Pelham 123,23373102,65452312,35.7,3074,7603,12-06-2009,Sony Pictures Releasing
The Polar Express,23323463,162775358,14.3,3650,6389,10-11-2004,Warner Bros.
Mortal Kombat,23302503,42326031,55,3073,7582,23-04-2021,Warner Bros.
Mortal Kombat,23283887,70454098,33,2421,9617,18-08-1995,New Line Cinema
Cocaine Bear,23260790,64670240,36,3534,6582,24-02-2023,Universal Pictures
Killers of the Flower Moon,23253655,68026901,34.2,3628,6409,20-10-2023,Paramount Pictures
Pineapple Express,23245025,87341380,26.6,3072,7566,06-08-2008,Sony Pictures Releasing
Alvin and the Chipmunks: Chipwrecked,23244744,133110742,17.5,3723,6243,16-12-2011,Twentieth Century Fox
Eragon,23239907,75030163,31,3020,7695,15-12-2006,Twentieth Century Fox
This Is It,23234394,72091016,32.2,3481,6674,28-10-2009,Sony Pictures Releasing
Hellboy,23172440,59623958,38.9,3028,7652,02-04-2004,Revolution Studios
Double Jeopardy,23162542,116741558,19.8,2547,9094,24-09-1999,Paramount Pictures
Jackass Forever,23154388,57743451,40.1,3604,6424,04-02-2022,Paramount Pictures
The Mask,23117068,119938730,19.3,2360,9795,29-07-1994,New Line Cinema
Star Trek: Generations,23116394,75671125,30.6,2659,8693,18-11-1994,Paramount Pictures
Eat Pray Love,23104523,80574010,28.7,3082,7496,13-08-2010,Sony Pictures Releasing
The League of Extraordinary Gentlemen,23075892,66465204,34.7,3002,7686,11-07-2003,Twentieth Century Fox
Smallfoot,23045635,83240103,27.7,4131,5578,28-09-2018,Warner Bros.
Resident Evil: Apocalypse,23036273,51201453,45,3284,7014,10-09-2004,Screen Gems
Star Wars: Episode VI - Return of the Jedi,23019618,252583617,9.1,1002,22973,25-05-1983,Twentieth Century Fox
27 Dresses,23007725,76808654,30,3057,7526,18-01-2008,Twentieth Century Fox
The Haunting in Connecticut,23004765,55389516,41.5,2732,8420,27-03-2009,Lionsgate Films
DC League of Super-Pets,23003441,93657117,24.6,4314,5332,29-07-2022,Warner Bros.
The Princess Diaries 2: Royal Engagement,22956453,95170481,24.1,3472,6611,11-08-2004,Walt Disney Studios Motion Pictures
The Game Plan,22950971,90648202,25.3,3103,7396,28-09-2007,Walt Disney Studios Motion Pictures
Vantage Point,22874936,72266306,31.6,3149,7264,22-02-2008,Sony Pictures Releasing
Jack Reacher: Never Go Back,22872490,58697076,39,3780,6050,21-10-2016,Paramount Pictures
The Princess Diaries,22862269,108248956,21.1,2537,9011,03-08-2001,Walt Disney Studios Motion Pictures
Mission to Mars,22855247,60883407,37.5,3054,7483,10-03-2000,Walt Disney Studios Motion Pictures
The Interpreter,22822455,72708161,31.4,2758,8275,22-04-2005,Universal Pictures
PAW Patrol: The Mighty Movie,22764354,65231360,34.9,3989,5706,29-09-2023,Paramount Pictures
Jackass: The Movie,22763437,64255312,35.4,2509,9072,25-10-2002,Paramount Pictures
Man on Fire,22751490,77911774,29.2,2980,7634,21-04-2004,Twentieth Century Fox
Mulan,22745143,120620254,18.9,2888,7875,19-06-1998,Walt Disney Studios Motion Pictures
Rugrats in Paris,22718184,76507756,29.7,2934,7743,17-11-2000,Paramount Pictures
Insidious: Chapter 3,22692741,52218558,43.5,3002,7559,05-06-2015,Focus Features
Unstoppable,22688457,81562942,27.8,3207,7074,12-11-2010,Twentieth Century Fox
Funny People,22657780,51855045,43.7,3007,7535,31-07-2009,Universal Pictures
Black Mass,22635037,62575678,36.2,3188,7100,18-09-2015,Warner Bros.
Poltergeist,22620386,47425125,47.7,3240,6981,22-05-2015,Twentieth Century Fox
The Time Machine,22610437,56832494,39.8,2944,7680,08-03-2002,DreamWorks Distribution
Smile,22609925,105935048,21.3,3645,6202,30-09-2022,Paramount Pictures
Bridge to Terabithia,22564612,82272442,27.4,3139,7188,16-02-2007,Walt Disney Studios Motion Pictures
Training Day,22550788,76631907,29.4,2712,8315,05-10-2001,Warner Bros.
Dick Tracy,22543911,103738726,21.7,2332,9667,15-06-1990,Walt Disney Studios Motion Pictures
Saw 3D,22530123,45710178,49.3,2808,8023,29-10-2010,Lionsgate Films
The Mask of Zorro,22525855,94095523,23.9,2515,8956,17-07-1998,Sony Pictures Releasing
Heaven Is for Real,22522221,91443253,24.6,2417,9318,16-04-2014,TriStar Pictures
The Lucky One,22518358,60457138,37.2,3155,7137,20-04-2012,Warner Bros.
Shallow Hal,22518295,70839203,31.8,2770,8129,09-11-2001,Twentieth Century Fox
Star Wars: Episode I - The Phantom Menace2012 3D Release,22469932,43456382,51.7,2655,8463,10-02-2012,Twentieth Century Fox
Life of Pi,22451514,124987023,18,2927,7670,21-11-2012,Twentieth Century Fox
The Social Network,22445653,96962694,23.2,2771,8100,01-10-2010,Sony Pictures Releasing
The Patriot,22413710,113330342,19.8,3061,7322,28-06-2000,Sony Pictures Releasing
Contagion,22403596,75658097,29.6,3222,6953,09-09-2011,Warner Bros.
Now You See Me 2,22383146,65075540,34.4,3232,6925,10-06-2016,Lionsgate Films
Walk the Line,22347341,119519402,18.7,2961,7547,18-11-2005,Twentieth Century Fox
The General's Daughter,22332053,102705852,21.7,2856,7819,18-06-1999,Paramount Pictures
Sing 2,22326230,162790990,13.7,3892,5736,22-12-2021,Universal Pictures
Planes,22232291,90288712,24.6,3702,6005,09-08-2013,Walt Disney Studios Motion Pictures
Disturbia,22224982,80209692,27.7,2925,7598,13-04-2007,DreamWorks
"Legally Blonde 2: Red, White & Blonde",22220670,90186328,24.6,3350,6633,02-07-2003,Metro-Goldwyn-Mayer
Monster House,22217226,73661010,30.2,3553,6253,21-07-2006,Sony Pictures Releasing
Freaky Friday,22203007,110230332,20.1,2954,7516,06-08-2003,Walt Disney Studios Motion Pictures
Kill Bill: Vol. 1,22200000,70099045,31.7,3102,7156,10-10-2003,Miramax
Die Hard with a Vengeance,22162245,100012499,22.2,2525,8777,19-05-1995,Twentieth Century Fox
Poseidon,22155410,60674817,36.5,3555,6232,12-05-2006,Warner Bros.
Diary of a Wimpy Kid,22126166,64003625,34.6,3077,7190,19-03-2010,Twentieth Century Fox
Ghost Rider: Spirit of Vengeance,22115334,51774002,42.7,3174,6967,17-02-2012,Sony Pictures Releasing
It's Complicated,22100820,112735375,19.6,2887,7655,25-12-2009,Universal Pictures
Ladder 49,22088204,74541707,29.6,3260,6775,01-10-2004,Walt Disney Studios Motion Pictures
Road to Perdition,22079481,104454762,21.1,1797,12286,12-07-2002,DreamWorks Distribution
Starship Troopers,22058773,54814377,40.2,2971,7424,07-11-1997,Sony Pictures Releasing
Star Trek: Insurrection,22052836,70187658,31.4,2620,8417,11-12-1998,Paramount Pictures
Chronicle,22004098,64575175,34.1,2907,7569,03-02-2012,Twentieth Century Fox
The Monuments Men,22003433,78031620,28.2,3083,7137,07-02-2014,Sony Pictures Releasing
Candyman,22001750,61186570,36,3569,6164,27-08-2021,Universal Pictures
Star Wars: Episode V - The Empire Strikes Back1997 Special Edition,21975993,67597694,32.5,2111,10410,21-02-1997,Twentieth Century Fox
Hide and Seek,21959233,51100486,43,3005,7307,28-01-2005,Twentieth Century Fox
Diary of a Mad Black Woman,21905089,50633099,43.3,1483,14770,25-02-2005,Lionsgate Films
Inspector Gadget,21889138,97403112,22.5,2814,7778,23-07-1999,Walt Disney Studios Motion Pictures
Unknown,21856389,63686397,34.3,3043,7182,18-02-2011,Warner Bros.
Dolittle,21844045,77047065,28.4,4155,5257,17-01-2020,Universal Pictures
Stomp the Yard,21833312,61356221,35.6,2051,10645,12-01-2007,Screen Gems
Notting Hill,21811180,116089678,18.8,2747,7940,28-05-1999,Universal Pictures
Renaissance: A Film by Beyoncé,21801216,33889684,64.3,2539,8586,01-12-2023,-
Lara Croft: Tomb Raider - The Cradle of Life,21783641,65660196,33.2,3222,6760,25-07-2003,Paramount Pictures
RED,21761408,90380162,24.1,3255,6685,15-10-2010,Summit Entertainment
Neighbors 2: Sorority Rising,21760405,55455765,39.2,3384,6430,20-05-2016,Universal Pictures
Underworld,21753759,51970690,41.9,2915,7462,19-09-2003,Screen Gems
Die Hard 2,21744661,117540947,18.5,2507,8673,06-07-1990,Twentieth Century Fox
Texas Chainsaw,21744470,34341945,63.3,2654,8193,04-01-2013,Lionsgate Films
Garfield: The Movie,21727611,75369589,28.8,3094,7022,11-06-2004,Twentieth Century Fox
Shaft,21714757,70334258,30.9,2337,9291,16-06-2000,Paramount Pictures
Cats & Dogs,21707617,93385515,23.2,3040,7140,04-07-2001,Warner Bros.
Eyes Wide Shut,21706163,55691208,39,2411,9002,16-07-1999,Warner Bros.
Spy Game,21689125,62362560,34.8,2770,7830,21-11-2001,Universal Pictures
Lights Out,21688103,67268835,32.2,2818,7696,22-07-2016,Warner Bros.
RoboCop,21681430,58607007,37,3372,6429,12-02-2014,Sony Pictures Releasing
My Best Friend's Wedding,21678377,127120029,17,2134,10158,20-06-1997,Sony Pictures Releasing
Bumblebee,21654047,127195589,17,3550,6099,21-12-2018,Paramount Pictures
Temptation: Confessions of a Marriage Counselor,21641679,51975354,41.6,2047,10572,29-03-2013,Lionsgate Films
London Has Fallen,21635601,62524260,34.6,3490,6199,04-03-2016,Focus Features
Little Man,21613176,58645052,36.8,2533,8532,14-07-2006,Revolution Studios
When a Stranger Calls,21607203,47860214,45.2,2999,7204,03-02-2006,Screen Gems
Fool's Gold,21589295,70231041,30.7,3125,6908,08-02-2008,Warner Bros.
Tammy,21577049,84525432,25.5,3465,6227,02-07-2014,Warner Bros.
Christmas with the Kranks,21570867,73780539,29.2,3393,6357,24-11-2004,Revolution Studios
"You, Me and Dupree",21525560,75628110,28.5,3131,6874,14-07-2006,Universal Pictures
Pete's Dragon,21514095,76233151,28.2,3702,5811,12-08-2016,Walt Disney Studios Motion Pictures
American Reunion,21514080,57011521,37.7,3192,6740,06-04-2012,Universal Pictures
Cruella,21496997,86103234,25,3892,5523,28-05-2021,Walt Disney Studios Motion Pictures
The 40-Year-Old Virgin,21422815,109449237,19.6,2845,7529,19-08-2005,Universal Pictures
The Stepford Wives,21406781,59484742,36,3057,7002,11-06-2004,Paramount Pictures
Good Boys,21402605,83140306,25.7,3204,6679,16-08-2019,Universal Pictures
Safe Haven,21401594,71349120,30,3223,6640,14-02-2013,Relativity Media
The Forbidden Kingdom,21401121,52075270,41.1,3151,6791,18-04-2008,Lionsgate Films
The Hitman's Bodyguard,21384504,75468583,28.3,3377,6332,18-08-2017,Lionsgate Films
Angel Has Fallen,21380987,69030436,31,3286,6506,23-08-2019,Lionsgate Films
Ice Age: Collision Course,21373064,64063008,33.4,3992,5353,22-07-2016,Twentieth Century Fox
Why Did I Get Married?,21353789,55204525,38.7,2011,10618,12-10-2007,Lionsgate Films
Turbo,21312625,83028128,25.7,3806,5599,17-07-2013,Twentieth Century Fox
