Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
Godzilla vs. Kong,31625971,100916094,31.3,3064,10321,31-03-2021,Warner Bros.
Bad Teacher,31603106,100292856,31.5,3049,10365,24-06-2011,Sony Pictures Releasing
The Truman Show,31542121,125618201,25.1,2315,13625,05-06-1998,Paramount Pictures
The Purge: Election Year,31515110,79213375,39.8,2796,11271,01-07-2016,Universal Pictures
The Wolfman,31479235,61979680,50.8,3222,9770,12-02-2010,Universal Pictures
Ford v Ferrari,31474958,117624357,26.8,3528,8921,15-11-2019,Twentieth Century Fox
Liar Liar,31423025,181410615,17.3,2845,11045,21-03-1997,Universal Pictures
Percy Jackson & the Olympians: The Lightning Thief,31236067,88768303,35.2,3356,9307,12-02-2010,Twentieth Century Fox
Elvis,31211579,151040048,20.7,3906,7990,24-06-2022,Warner Bros.
Girls Trip,31201920,115171585,27.1,2591,12042,21-07-2017,Universal Pictures
Evan Almighty,31192615,100462298,31,3604,8654,22-06-2007,Universal Pictures
The Sum of All Fears,31178526,118907036,26.2,3183,9795,31-05-2002,Paramount Pictures
Home Alone 2: Lost in New York,31126882,173585516,17.9,2222,14008,20-11-1992,Twentieth Century Fox
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,31117834,65281781,47.7,683,45560,01-02-2008,Walt Disney Studios Motion Pictures
Bringing Down the House,31101026,132716677,23.4,2801,11103,07-03-2003,Walt Disney Studios Motion Pictures
Four Christmases,31069826,120146040,25.9,3310,9386,26-11-2008,Warner Bros.
Space Jam: A New Legacy,31053362,70592228,44,3965,7831,16-07-2021,Warner Bros.
Into the Woods,31051923,128002372,24.3,2440,12726,25-12-2014,Walt Disney Studios Motion Pictures
Pokémon: The First Movie - Mewtwo Strikes Back,31036678,85744662,36.2,3043,10199,10-11-1999,Warner Bros.
Downton Abbey,31033665,96853865,32,3079,10079,20-09-2019,Focus Features
Sex and the City 2,31001870,95347692,32.5,3445,8999,27-05-2010,Warner Bros.
Step Brothers,30940732,100468793,30.8,3094,10000,25-07-2008,Sony Pictures Releasing
Little Fockers,30833665,148438600,20.8,3536,8719,22-12-2010,Universal Pictures
Star Trek: First Contact,30716131,92027888,33.4,2812,10923,22-11-1996,Paramount Pictures
Knocked Up,30690990,148768917,20.6,2871,10690,01-06-2007,Universal Pictures
The Dukes of Hazzard,30675314,80270227,38.2,3785,8104,05-08-2005,Warner Bros.
Unbroken,30621445,115637895,26.5,3131,9780,25-12-2014,Universal Pictures
Brüno,30619130,60054530,51,2756,11109,10-07-2009,Universal Pictures
Saving Private Ryan,30576104,216540909,14.1,2463,12414,24-07-1998,DreamWorks Distribution
The Pacifier,30552694,113086868,27,3131,9758,04-03-2005,Walt Disney Studios Motion Pictures
Bram Stoker's Dracula,30521679,82522790,37,2491,12252,13-11-1992,Columbia Pictures
The Happening,30517109,64506874,47.3,2986,10220,13-06-2008,Twentieth Century Fox
Just Go with It,30514732,103028109,29.6,3548,8600,11-02-2011,Sony Pictures Releasing
The Day the Earth Stood Still,30480153,79366978,38.4,3560,8561,12-12-2008,Twentieth Century Fox
Dear John,30468614,80014842,38.1,2969,10262,05-02-2010,Screen Gems
The Lost City,30453269,105344029,28.9,4253,7160,25-03-2022,Paramount Pictures
John Wick: Chapter 2,30436123,92029184,33.1,3113,9777,10-02-2017,Lionsgate Films
Night at the Museum,30433781,250863268,12.1,3685,8258,22-12-2006,Twentieth Century Fox
M3GAN,30429860,95159005,32,3509,8671,06-01-2023,Universal Pictures
Olympus Has Fallen,30373794,98925640,30.7,3098,9804,22-03-2013,FilmDistrict
Unbreakable,30330771,95011339,31.9,2708,11200,22-11-2000,Walt Disney Studios Motion Pictures
Maze Runner: The Scorch Trials,30316510,81697192,37.1,3791,7996,18-09-2015,Twentieth Century Fox
Cloudy with a Chance of Meatballs,30304648,124870275,24.3,3119,9716,18-09-2009,Sony Pictures Releasing
The Addams Family,30300007,100044905,30.3,4007,7561,11-10-2019,United Artists Releasing
America's Sweethearts,30181877,93607673,32.2,3011,10023,20-07-2001,Revolution Studios
John Carter,30180188,73078100,41.3,3749,8050,09-03-2012,Walt Disney Studios Motion Pictures
The Lion King2011 3D Release,30151614,94242001,32,2330,12940,16-09-2011,Walt Disney Studios Motion Pictures
The X Files,30138758,83898313,35.9,2629,11463,19-06-1998,Twentieth Century Fox
Django Unchained,30122888,162805434,18.5,3010,10007,25-12-2012,The Weinstein Company
Shazam! Fury of the Gods,30111158,57638006,52.2,4071,7396,17-03-2023,Warner Bros.
The Best Man Holiday,30107555,70525195,42.7,2024,14875,15-11-2013,Universal Pictures
Trainwreck,30097040,110212700,27.3,3158,9530,17-07-2015,Universal Pictures
Prince of Persia: The Sands of Time,30095259,90759676,33.2,3646,8254,28-05-2010,Walt Disney Studios Motion Pictures
Dodgeball: A True Underdog Story,30070196,114326736,26.3,2694,11161,18-06-2004,Twentieth Century Fox
A Series of Unfortunate Events,30061756,118634549,25.3,3620,8304,17-12-2004,Paramount Pictures
Sleepy Hollow,30060467,101071502,29.7,3064,9810,19-11-1999,Paramount Pictures
Panic Room,30056751,96397334,31.2,3053,9844,29-03-2002,Sony Pictures Releasing
The Exorcism of Emily Rose,30054300,75072454,40,2981,10081,09-09-2005,Screen Gems
Saw V,30053954,56746769,53,3060,9821,24-10-2008,Lionsgate Films
Catch Me If You Can,30053627,164615351,18.3,3156,9522,25-12-2002,DreamWorks Distribution
A Christmas Carol,30051075,137855863,21.8,3683,8159,06-11-2009,Walt Disney Studios Motion Pictures
Men in Black: International,30035838,80001807,37.5,4224,7110,14-06-2019,Sony Pictures Releasing
Madea's Family Reunion,30030661,63257940,47.5,2194,13687,24-02-2006,Lionsgate Films
Bullet Train,30030156,103368602,29,4357,6892,05-08-2022,Sony Pictures Releasing
Scream,30018805,81641405,36.8,3664,8192,14-01-2022,Paramount Pictures
Meg 2: The Trench,30002735,82600317,36.3,3503,8564,04-08-2023,Warner Bros.
Trolls Band Together,30002525,102996915,29.1,3870,7752,17-11-2023,Universal Pictures
The Purge: Anarchy,29816675,71962800,41.4,2805,10629,18-07-2014,Universal Pictures
Elysium,29807393,93050117,32,3284,9076,09-08-2013,TriStar Pictures
Hercules,29800263,72688614,41,3595,8289,25-07-2014,Paramount Pictures
Constantine,29769098,75976178,39.2,3006,9903,18-02-2005,Warner Bros.
What Lies Beneath,29702959,155464351,19.1,2813,10559,21-07-2000,DreamWorks Distribution
The Flintstones,29688730,130531208,22.7,2498,11885,27-05-1994,Universal Pictures
Dark Shadows,29685274,79727149,37.2,3755,7905,11-05-2012,Warner Bros.
Daddy's Home 2,29651193,104029443,28.5,3575,8294,10-11-2017,Paramount Pictures
Creed,29632823,109767581,27,3404,8705,25-11-2015,Warner Bros.
Elemental,29602429,154426697,19.2,4035,7336,16-06-2023,Walt Disney Studios Motion Pictures
Insidious: The Last Key,29581355,67745330,43.7,3116,9493,05-01-2018,Universal Pictures
Justin Bieber: Never Say Never,29514054,73013910,40.4,3105,9505,11-02-2011,Paramount Pictures
Ghostbusters II,29472894,112494738,26.2,2410,12229,16-06-1989,Columbia Pictures
Scooby-Doo 2: Monsters Unleashed,29438331,84216833,35,3312,8888,26-03-2004,Warner Bros.
Indiana Jones and the Last Crusade,29355021,197171806,14.9,2327,12614,24-05-1989,Paramount Pictures
A.I. Artificial Intelligence,29352630,78616689,37.3,3242,9053,29-06-2001,Warner Bros.
Now You See Me,29350389,117723989,24.9,2925,10034,31-05-2013,Lionsgate Films
Beverly Hills Chihuahua,29300465,94514402,31,3215,9113,03-10-2008,Walt Disney Studios Motion Pictures
Why Did I Get Married Too?,29289537,60095852,48.7,2155,13591,02-04-2010,Lionsgate Films
Think Like a Man Too,29241911,65182182,44.9,2225,13142,20-06-2014,Screen Gems
The Muppets,29239026,88631237,33,3440,8499,23-11-2011,Walt Disney Studios Motion Pictures
The Lone Ranger,29210849,89302115,32.7,3904,7482,03-07-2013,Walt Disney Studios Motion Pictures
Eagle Eye,29150721,101440743,28.7,3510,8305,26-09-2008,DreamWorks
Toy Story,29140617,191796233,15.2,2457,11860,22-11-1995,Walt Disney Studios Motion Pictures
The Texas Chainsaw Massacre,29100000,80571655,36.1,3016,9648,17-10-2003,New Line Cinema
Spy,29085719,110825712,26.2,3711,7837,05-06-2015,Twentieth Century Fox
Terminator: Dark Fate,29033832,62253077,46.6,4086,7105,01-11-2019,Paramount Pictures
Allegiant,29027348,66184051,43.9,3740,7761,18-03-2016,Lionsgate Films
Doctor Dolittle,29014324,144156605,20.1,2777,10448,26-06-1998,Twentieth Century Fox
The Santa Clause 2,29008696,139236327,20.8,3350,8659,01-11-2002,Walt Disney Studios Motion Pictures
Paranormal Activity 4,29003866,53885000,53.8,3412,8500,19-10-2012,Paramount Pictures
Jackass Number Two,29002002,72778712,39.8,3059,9480,22-09-2006,Paramount Pictures
Inside Man,28954945,88513495,32.7,2818,10274,24-03-2006,Universal Pictures
Cast Away,28883406,233632142,12.4,2774,10412,22-12-2000,Twentieth Century Fox
Non-Stop,28875635,92168600,31.3,3090,9344,28-02-2014,Universal Pictures
Miss Peregrine's Home for Peculiar Children,28871140,87242834,33.1,3522,8197,30-09-2016,Twentieth Century Fox
Edge of Tomorrow,28760246,100206256,28.7,3490,8240,06-06-2014,Warner Bros.
Murder on the Orient Express,28681472,102826543,27.9,3341,8584,10-11-2017,Twentieth Century Fox
Bob Marley: One Love,28659004,96456635,29.7,3539,8098,14-02-2024,Paramount Pictures
Titanic,28638131,600683057,4.8,2674,10709,19-12-1997,Paramount Pictures
Mean Girls,28635307,72404248,39.6,3791,7553,12-01-2024,Paramount Pictures
Meet the Parents,28623300,166244045,17.2,2614,10950,06-10-2000,Universal Pictures
Obsessed,28612730,68261644,41.9,2514,11381,24-04-2009,Screen Gems
The Expendables 2,28591370,85028192,33.6,3316,8622,17-08-2012,Lionsgate Films
Alita: Battle Angel,28525613,85838210,33.2,3790,7526,14-02-2019,Twentieth Century Fox
Boo! A Madea Halloween,28501448,73206343,38.9,2260,12611,21-10-2016,Lionsgate Films
Anchorman: The Legend of Ron Burgundy,28416365,85288303,33.3,3091,9193,09-07-2004,DreamWorks Distribution
Mama,28402310,71628180,39.6,2647,10730,18-01-2013,Universal Pictures
Free Guy,28365416,121626598,23.3,4165,6810,13-08-2021,20th Century Studios
